,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
2377,-54.97995,-20.93764,-109.2075471698113,360,2349.168306150632,130,22.02
389,-54.96516,-20.94944,-114.92857142857143,134,2349.8525729280764,172,10.05
388,-54.9652,-20.94943,-114.48214285714286,134,2349.855173071277,172,10.05
1686,-54.97867,-20.93994,-111.77777777777777,301,2349.8865436322058,139,20.12
382,-54.9651,-20.94946,-113.98148148148148,134,2350.398861693082,172,10.05
509,-54.969,-20.94814,-80.60714285714286,160,2351.6955756593316,166,11.66
260,-54.96281,-20.94992,-110.0,106,2351.741893465277,175,9.28
263,-54.9598,-20.95017,-104.64285714285714,108,2352.2857630458043,179,8.19
412,-54.96397,-20.94973,-122.32142857142857,135,2352.567711292476,174,9.53
278,-54.95891999999999,-20.95018,-107.8148148148148,109,2353.3805783872076,181,7.69
2372,-54.97999,-20.93768,-109.89285714285714,360,2354.7813477569075,130,22.02
1675,-54.97872,-20.93997,-110.46153846153848,301,2356.0557001396023,139,20.12
1998,-54.98001,-20.93771,-109.07142857142857,330,2358.0449728313747,130,22.02
272,-54.95968000000001,-20.95023,-107.21428571428572,109,2358.716683133689,180,7.99
271,-54.95895,-20.95024,-106.21428571428572,109,2359.9642902406063,181,7.69
1673,-54.97876,-20.93999,-110.5,301,2360.761268832048,139,20.12
1994,-54.980030000000006,-20.93773,-108.71153846153848,330,2360.853421590658,130,22.02
252,-54.96286,-20.95,-108.63333333333334,106,2361.2925567478705,175,9.28
513,-54.96905,-20.948220000000006,-80.66666666666667,160,2361.9250427193865,166,11.66
514,-54.96907,-20.948220000000006,-87.65454545454546,160,2362.813757594882,166,11.66
275,-54.95962,-20.95027,-106.57142857142857,109,2363.0644069106497,180,7.99
393,-54.96404,-20.94983,-121.75925925925924,135,2364.8965564022105,174,9.53
1679,-54.9788,-20.94001,-109.58181818181818,301,2365.4668668895574,139,20.12
255,-54.96289,-20.95004,-108.64150943396228,106,2366.1508642331323,175,9.28
1992,-54.98008000000001,-20.93776,-107.32142857142857,330,2366.9615081167253,130,22.02
295,-54.95956999999999,-20.95031,-105.82142857142857,109,2367.4383869264825,180,7.99
289,-54.95897,-20.95032,-106.32142857142857,109,2368.7839181167587,181,7.69
