,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
700,-51.7987,-30.8617,-95.07936507936508,408,1663.8871321160707,193,7.02
875,-51.7841,-30.859,-90.72881355932205,477,1664.1109399090715,143,21.48
888,-51.7838,-30.8588,-95.50769230769232,477,1664.3966321103478,142,21.91
635,-51.7953,-30.8621,-91.625,380,1664.561711386022,182,10.02
1756,-51.8117,-30.8503,-96.89333333333332,699,1664.8730502508372,258,1.48
638,-51.7954,-30.8621,-93.25806451612905,380,1664.9211217558743,182,10.02
644,-51.7955,-30.8621,-91.38888888888887,380,1665.3353915742657,183,9.73
1248,-51.7814,-30.8568,-97.73737373737373,539,1665.8714187748676,131,25.31
681,-51.8016,-30.8609,-83.42857142857143,406,1666.9033856652597,203,4.45
891,-51.7839,-30.8589,-89.90322580645163,477,1667.113158667352,142,21.91
801,-51.8055,-30.8589,-92.5,463,1667.5872488638022,218,1.61
879,-51.7836,-30.8587,-89.71910112359552,477,1667.8749650926468,141,22.23
1088,-51.8074,-30.8574,-98.16666666666669,522,1667.8924850168064,226,0.59
890,-51.7837,-30.8588,-91.0,477,1670.4027000886122,141,22.23
687,-51.8017,-30.8609,-82.7,406,1670.7157373236619,203,4.45
619,-51.7986,-30.8618,-93.3939393939394,378,1672.5166062480678,193,7.02
878,-51.7835,-30.8587,-85.16417910447761,477,1673.9778709919071,141,22.23
1755,-51.8118,-30.8503,-95.95454545454544,699,1674.219369702796,258,1.48
1096,-51.8075,-30.8574,-99.08333333333331,522,1674.8740242666954,227,0.65
802,-51.8055,-30.859,-97.1808510638298,463,1676.302254171657,218,1.61
642,-51.7955,-30.8622,-93.04878048780488,380,1676.4103507820555,183,9.73
639,-51.7956,-30.8622,-86.71875,380,1676.8763405381915,183,9.73
1911,-51.8122,-30.8483,-101.09523809523809,759,1679.6787838801276,266,2.91
880,-51.7834,-30.8587,-86.64,477,1680.1130636125704,140,22.65
1247,-51.7813,-30.8569,-96.8181818181818,539,1680.3355715229557,131,25.31
684,-51.8017,-30.861,-88.56521739130434,406,1680.8778491843016,203,4.45
615,-51.7985,-30.8619,-93.40625,378,1681.2293205360177,192,7.23
1090,-51.8076,-30.8574,-100.5,522,1681.880981455757,227,0.65
621,-51.7986,-30.8619,-93.64864864864865,378,1683.3252403878637,193,7.02
1754,-51.8119,-30.8503,-95.71428571428572,699,1683.5681509324636,258,1.48
685,-51.8018,-30.861,-95.2394366197183,406,1684.712878999416,203,4.45
805,-51.8055,-30.8591,-100.76923076923076,463,1685.0451307270453,217,1.73
881,-51.7833,-30.8587,-84.28070175438596,477,1686.2801905467907,140,22.65
625,-51.7957,-30.8623,-90.875,379,1688.465385436076,183,9.73
1091,-51.8077,-30.8574,-99.8688524590164,522,1688.9130402204637,227,0.65
631,-51.7958,-30.8623,-89.1,379,1689.0363823475882,184,9.51
906,-51.7832,-30.8587,-91.3623188405797,478,1692.4789027041616,140,22.65
1519,-51.8106,-30.8538,-96.0,610,1693.1731206055774,244,0.14
809,-51.8055,-30.8592,-102.59375,463,1693.8154469481935,217,1.73
1250,-51.7812,-30.857,-92.4054054054054,539,1694.8027747548033,131,25.31
1092,-51.8078,-30.8574,-100.94202898550724,522,1695.9698883235112,227,0.65
903,-51.7831,-30.8587,-93.59154929577463,478,1698.7088543166435,140,22.65
632,-51.7958,-30.8624,-82.5632183908046,379,1700.1015425396695,184,9.51
633,-51.7959,-30.8624,-83.77142857142857,379,1700.7224257824857,184,9.51
613,-51.7984,-30.8621,-93.77419354838709,378,1700.8659032578416,192,7.23
1245,-51.7812,-30.8571,-91.3125,539,1702.0067750085982,131,25.31
1753,-51.8121,-30.8503,-97.61111111111113,699,1702.2729364694908,258,1.48
798,-51.8055,-30.8593,-103.0204081632653,463,1702.6127788092886,217,1.73
1093,-51.8079,-30.8574,-102.19444444444444,522,1703.0512176103805,227,0.65
905,-51.783,-30.8587,-94.38028169014083,478,1704.969702934001,139,22.97
1910,-51.8125,-30.8483,-96.25,759,1708.2861113140289,266,2.91
617,-51.7983,-30.8622,-94.8135593220339,378,1709.7568621362109,191,7.56
1094,-51.808,-30.8574,-101.0,522,1710.1567239683534,228,0.4
904,-51.7829,-30.8587,-93.5,478,1711.2611094382564,139,22.97
806,-51.8055,-30.8594,-103.22222222222223,463,1711.4367097034549,217,1.73
634,-51.79600000000001,-30.8625,-81.16666666666667,379,1712.453922899752,184,9.51
674,-51.802,-30.8612,-95.12345679012344,405,1712.7395141562665,204,4.21
1244,-51.7811,-30.8572,-91.84615384615385,539,1716.487821659795,131,25.31
907,-51.7828,-30.8587,-86.26315789473685,478,1717.58273803311,139,22.97
1909,-51.8126,-30.8483,-95.64583333333331,759,1717.8225497449373,266,2.91
622,-51.7982,-30.8623,-97.08888888888887,378,1718.7265788434684,191,7.56
807,-51.8055,-30.8595,-102.02459016393442,463,1720.2868303276005,217,1.73
1246,-51.7811,-30.8573,-95.22033898305084,539,1723.7438016073636,131,25.31
902,-51.7827,-30.8587,-85.12162162162163,478,1723.9342562474699,139,22.97
630,-51.7962,-30.8626,-85.51282051282051,379,1725.001256678675,185,9.22
1908,-51.8127,-30.8483,-100.0,758,1727.3593103392539,266,2.91
808,-51.8055,-30.8596,-100.42465753424658,463,1729.1627385570544,216,1.89
620,-51.7982,-30.8624,-94.54794520547944,378,1729.6017755208761,191,7.56
895,-51.7826,-30.8587,-79.16666666666667,478,1730.3153349319173,138,23.43
1758,-51.8124,-30.8503,-100.0,699,1730.3475867987618,258,1.48
677,-51.8022,-30.8613,-91.63559322033899,405,1730.7132617221962,204,4.21
1080,-51.8083,-30.8574,-104.91666666666669,521,1731.6153241700674,228,0.4
1518,-51.8111,-30.8538,-99.0,610,1736.2707534473193,244,0.14
900,-51.7825,-30.8587,-84.19718309859155,478,1736.7256482523458,138,23.43
629,-51.7963,-30.8627,-87.71875,379,1736.8683232305732,185,9.22
614,-51.798,-30.8625,-94.62857142857143,378,1736.8973937309156,190,7.82
735,-51.8055,-30.8597,-98.22222222222223,433,1738.0640393201797,216,1.89
1243,-51.78100000000001,-30.8574,-93.8840579710145,539,1738.2377972355928,131,25.31
624,-51.7981,-30.8625,-94.36363636363636,378,1738.6631308015847,191,7.56
1079,-51.8084,-30.8574,-106.41463414634147,521,1738.8145771600553,229,0.4
898,-51.7824,-30.8587,-92.74025974025976,478,1743.1648736867917,138,23.43
679,-51.8023,-30.8614,-92.2162162162162,405,1744.7730172356607,204,4.21
1066,-51.78100000000001,-30.8575,-92.59649122807018,509,1745.544191961214,132,25.0
1082,-51.8085,-30.8574,-105.53125,521,1746.0365459002846,229,0.4
1905,-51.8129,-30.8483,-104.73333333333332,758,1746.4337769102992,266,2.91
733,-51.8055,-30.8598,-100.41176470588236,433,1746.9903444789952,216,1.89
623,-51.798,-30.8626,-94.89655172413794,378,1747.8001831125425,190,7.82
628,-51.7964,-30.8628,-77.97014925373135,379,1748.7774606049472,185,9.22
